import time: self [us] | cumulative | imported package
import time:   2203429 |    2203429 |               streamlit.proto.ArrowNamedDataSet_pb2
import time:   1717891 |    3921319 |             streamlit.proto.ArrowVegaLiteChart_pb2
import time:   1798367 |    1798367 |             streamlit.proto.BokehChart_pb2
import time:   3683320 |    3683320 |               streamlit.proto.ButtonLikeIconPosition_pb2
import time:   3318604 |    7001923 |             streamlit.proto.Button_pb2
import time:   1872742 |    1872742 |             streamlit.proto.ButtonGroup_pb2
import time:   2500072 |    2500072 |             streamlit.proto.DownloadButton_pb2
import time:   2536627 |    2536627 |             streamlit.proto.CameraInput_pb2
import time:   1232534 |    1232534 |             streamlit.proto.ChatInput_pb2
import time:   2643807 |    2643807 |             streamlit.proto.Checkbox_pb2
import time:   1568183 |    1568183 |             streamlit.proto.Code_pb2
import time:   1786599 |    1786599 |             streamlit.proto.ColorPicker_pb2
import time:   1944534 |    1944534 |               streamlit.proto.Common_pb2
import time:   1992828 |    3937362 |             streamlit.proto.DataFrame_pb2
import time:   1993522 |    1993522 |             streamlit.proto.DateInput_pb2
import time:   2361120 |    2361120 |             streamlit.proto.DateTimeInput_pb2
import time:   2542144 |    2542144 |             streamlit.proto.DeckGlJsonChart_pb2
import time:   1852981 |    1852981 |             streamlit.proto.DocString_pb2
import time:   1810774 |    1810774 |             streamlit.proto.Empty_pb2
import time:   1877807 |    1877807 |             streamlit.proto.Exception_pb2
import time:   1977896 |    1977896 |             streamlit.proto.Favicon_pb2
import time:   1829198 |    1829198 |             streamlit.proto.FileUploader_pb2
import time:   1806432 |    1806432 |             streamlit.proto.GraphVizChart_pb2
import time:   1924893 |    1924893 |             streamlit.proto.Html_pb2
import time:   2040703 |    2040703 |             streamlit.proto.IFrame_pb2
import time:   1671792 |    1671792 |             streamlit.proto.Image_pb2
import time:   2493777 |    2493777 |             streamlit.proto.Json_pb2
import time:   2199728 |    2199728 |             streamlit.proto.LinkButton_pb2
import time:   1976669 |    1976669 |             streamlit.proto.NumberInput_pb2
import time:   2084449 |    2084449 |             streamlit.proto.Markdown_pb2
import time:   5298291 |    5298291 |             streamlit.proto.Metric_pb2
import time:   3309623 |    3309623 |             streamlit.proto.MultiSelect_pb2
import time:   1166570 |    1166570 |             streamlit.proto.PageLink_pb2
import time:   2077527 |    2077527 |             streamlit.proto.PlotlyChart_pb2
import time:   2497833 |    2497833 |             streamlit.proto.Components_pb2
import time:   1761654 |    1761654 |             streamlit.proto.Progress_pb2
import time:   1900008 |    1900008 |             streamlit.proto.Snow_pb2
import time:   1791811 |    1791811 |             streamlit.proto.Spinner_pb2
import time:   1789946 |    1789946 |             streamlit.proto.Radio_pb2
import time:   2185859 |    2185859 |             streamlit.proto.Selectbox_pb2
import time:   1984777 |    1984777 |             streamlit.proto.Skeleton_pb2
import time:   2717420 |    2717420 |             streamlit.proto.Slider_pb2
import time:   2396928 |    2396928 |             streamlit.proto.Space_pb2
import time:   1261836 |    1261836 |             streamlit.proto.Text_pb2
import time:   2813547 |    2813547 |             streamlit.proto.TextArea_pb2
import time:   2609643 |    2609643 |             streamlit.proto.TextInput_pb2
import time:   1196253 |    1196253 |             streamlit.proto.TimeInput_pb2
import time:   2527177 |    2527177 |             streamlit.proto.Toast_pb2
import time:   2210695 |    2210695 |               streamlit.proto.NamedDataSet_pb2
import time:   1260055 |    3470750 |             streamlit.proto.VegaLiteChart_pb2
import time:   2563403 |    2563403 |             streamlit.proto.Video_pb2
import time:   1730246 |    1730246 |             streamlit.proto.Heading_pb2
import time:   2096231 |    2096231 |               streamlit.proto.ArrowData_pb2
import time:   1878063 |    3974293 |             streamlit.proto.BidiComponent_pb2
import time:   2546953 |    2546953 |             streamlit.proto.HeightConfig_pb2
import time:   1269798 |    1269798 |             streamlit.proto.TextAlignmentConfig_pb2
import time:   4197331 |  138553247 |           streamlit.proto.Element_pb2
import time:       300 |        300 |                         concurrent
import time:      4316 |       4316 |                         concurrent.futures._base
import time:       710 |       5325 |                       concurrent.futures
import time:      1229 |       1229 |                         _heapq
import time:       325 |       1553 |                       heapq
import time:      1118 |       1118 |                         signal
import time:       863 |        863 |                         fcntl
import time:        76 |         76 |                         msvcrt
import time:      1514 |       1514 |                         _posixsubprocess
import time:      3241 |       6811 |                       subprocess
import time:      1186 |       1186 |                       asyncio.constants
import time:       222 |        222 |                       asyncio.coroutines
import time:       457 |        457 |                         asyncio.format_helpers
import time:       156 |        156 |                           asyncio.base_futures
import time:       173 |        173 |                           asyncio.exceptions
import time:       123 |        123 |                           asyncio.base_tasks
import time:      1820 |       2270 |                         _asyncio
import time:       519 |       3246 |                       asyncio.events
